match_id,duration,first_blood_time,radiant_win,region
8128560641,1650,443,False,3.0
8128565716,2537,65,True,3.0
8128571867,2406,322,False,17.0
8128578834,2356,226,True,8.0
8128581361,1995,72,True,5.0
8128581576,1355,0,True,5.0
8128595237,1354,45,True,3.0
8128604087,1468,158,True,3.0
8128606027,1704,335,True,5.0
8128614075,1459,170,False,5.0
8128617279,1857,48,False,3.0
8128627452,2644,113,True,17.0
8128627931,1597,26,False,3.0
8128633090,2741,66,False,5.0
8128640132,2079,321,False,8.0
8128650521,3949,0,True,3.0
8128662687,1715,10,False,3.0
8128662895,2360,0,False,8.0
8128669703,1497,178,False,3.0
8128671006,2213,0,False,5.0
8128704780,2940,1,False,17.0
8128711408,2025,204,False,8.0
8128712156,1616,117,True,3.0
8128713545,1527,53,False,3.0
8128745685,2068,21,True,8.0
8128752255,2878,107,True,5.0
8128774592,2158,246,False,3.0
8128792637,3707,8,False,8.0
8128794761,1491,267,False,3.0
8128841169,3180,0,True,8.0
8128849428,1315,213,False,3.0
8128876782,2327,4,True,3.0
8128882705,1566,147,True,8.0
8128883081,1245,69,True,8.0
8128886137,797,15,True,8.0
8128890371,756,111,True,8.0
8128892556,912,92,True,8.0
8128893590,2320,5,False,8.0
8128901300,1952,205,True,3.0
8128927189,1976,3,True,8.0
8128929126,1860,117,False,8.0
8128930878,1069,0,True,8.0
8128931161,2675,109,False,8.0
8128931413,1949,184,True,8.0
8128944916,2666,5,True,8.0
8128946950,794,0,True,8.0
8128955328,3292,124,False,8.0
8128956115,1896,135,True,8.0
8128959540,1832,86,False,8.0
8128962338,807,103,True,8.0
8128974305,1506,150,False,3.0
8128980733,1735,0,False,15.0
8128981727,1858,362,True,8.0
8128981912,1245,0,False,3.0
8128983398,1313,0,True,3.0
8128988401,1348,86,True,3.0
8128992135,1093,0,True,3.0
8128993167,733,176,True,3.0
8128993578,2736,187,False,3.0
8128997671,1094,3,True,3.0
8128997969,1182,198,True,3.0
8129001927,1310,0,True,8.0
8129006338,1707,7,True,8.0
8129011672,951,108,True,8.0
8129013966,1295,82,True,8.0
8129023930,3399,11,True,8.0
8129030171,636,111,True,8.0
8129037579,1191,47,False,3.0
